video_id,category_id,views,likes,dislikes,comment_count
6_DgXvcfhYg,10,719123,16644,727,1219
6dGqZmvDElA,25,188158,7726,344,833
6e_MMVmmFfA,24,1235417,4918,137,365
6fyE0B430Rc,26,556558,18619,296,1537
6gFj1XJ6b5o,17,350069,13360,98,489
6hIFDfP9rNc,25,88582,1398,41,114
6hb0GOOFQwI,23,24296,828,63,82
6ijnv-jNhUA,27,507170,10747,369,1496
6jxRnodaKzE,24,5389292,28418,1138,4565
6kyXZGyso8M,17,366172,1880,267,933
6lI67K54qgQ,17,755748,7253,633,2817
6mkLWGy6Y3k,10,386819,85113,269,5560
6oIWl1jLE20,28,322998,0,0,0
6sHIq41sI-w,10,6215935,428599,3744,44156
6tAB3YwWkxY,1,279585,4658,194,192
6tgptWcKkgc,24,267753,11966,140,820
6vbFe6F48Uo,28,498874,10685,2177,0
6vgGGAm7ANc,22,151902,2676,37,239
6wGj89GE6aQ,24,2033497,123466,1377,10498
6wHZT2t78E4,17,1190828,21941,609,2069
6wuV4531d9c,24,211258,4947,56,450
6xMBmvevhj0,10,1929441,39940,6346,3069
6xUPaVfmcUs,23,7049534,143779,3230,6294
6xUnndUTDBQ,22,505147,24233,2010,1936
6xnTeGwRCGY,25,7767,74,88,267
6ztB3fg9knE,24,291980,6303,547,1845
71X7a8eu73k,28,965264,23886,776,1639
72Qahj0U0Lw,25,254521,1335,281,750
72hlr-E7KA0,27,774407,23638,505,1671
73_OWzBr8Fo,10,1467165,141277,1573,10516
76XBys_HXq4,2,213341,904,103,133
76c_nxhuVdM,24,163780,826,10,167
77e7n60Zs9E,24,2085,35,3,8
7BdizVgHf8I,24,253263,11629,112,2058
7BlT28Tl_VI,22,2317727,44807,2932,4892
7Bq_H1ci9ec,27,59068,0,0,49
7C2z4GqqS5E,10,121219886,5595203,205565,1225326
7DbslbKsQSk,28,1819267,46886,836,4782
7FA21oJ3-hw,24,410327,13307,252,4620
7FM_MfpYOLU,1,726422,61211,333,3548
7FceZB6qMiA,17,155006,2607,43,832
7FgazlhALyE,17,146536,1691,1762,250
7HGCE6-LMBg,1,3132527,231420,797,47382
7HIt7pA4WqY,15,443675,6434,1668,1224
7IUWv-GmGQg,24,1580705,37759,703,1873
7IZZrxZ6uxA,27,53469,1487,63,205
7J4nN0Te9m8,10,143097,2070,236,87
7Jz8wZbXuDA,17,4344751,64416,3742,7852
7LjC-nUPrNg,24,3708663,40325,5492,7858
7N_tNfBxCxE,28,531907,18968,423,2084
7OsFH1XBUG8,27,1475727,20443,4858,4659
7P-PNa0bxQg,24,399657,17756,74,1068
7Tivcf-zIOU,25,437294,20205,3020,2284
7UoP9ABJXGE,10,2617227,31383,928,621
7VnEPIBsp20,24,1467369,34123,1637,2233
7YibRBd46oo,24,27666,1606,131,146
